state,category,group,cvap
Delaware,Income,"$10,000 to $14,999",9336
Delaware,Income,"$15,000 to $19,999",9130
Delaware,Income,"$20,000 to $24,999",10009
Delaware,Income,"$25,000 to $29,999",9320
Delaware,Income,"$30,000 to $34,999",11296
Delaware,Income,"$35,000 to $39,999",11551
Delaware,Income,"$40,000 to $44,999",14460
Delaware,Income,"$45,000 to $49,999",15535
Delaware,Income,"$50,000 to $59,999",26537
Delaware,Income,"$60,000 to $74,999",37918
Delaware,Income,"$75,000 to $99,999",59347
Delaware,Income,"$100,000 to $124,999",46857
Delaware,Income,"$125,000 to $149,999",32918
Delaware,Income,"$150,000 to $199,999",44632
Delaware,Income,"$200,000 or more",53110
District of Columbia,Income,"Less than $10,000",25619
District of Columbia,Income,"$10,000 to $14,999",11427
District of Columbia,Income,"$15,000 to $19,999",7443
District of Columbia,Income,"$20,000 to $24,999",11494
District of Columbia,Income,"$25,000 to $29,999",6833
District of Columbia,Income,"$30,000 to $34,999",6010
District of Columbia,Income,"$35,000 to $39,999",5054
District of Columbia,Income,"$40,000 to $44,999",6567
District of Columbia,Income,"$45,000 to $49,999",5771
District of Columbia,Income,"$50,000 to $59,999",11206
District of Columbia,Income,"$60,000 to $74,999",23556
District of Columbia,Income,"$75,000 to $99,999",32189
District of Columbia,Income,"$100,000 to $124,999",29369
District of Columbia,Income,"$125,000 to $149,999",26024
District of Columbia,Income,"$150,000 to $199,999",33314
District of Columbia,Income,"$200,000 or more",87811
Florida,Income,"Less than $10,000",473368
Florida,Income,"$10,000 to $14,999",283018
Florida,Income,"$15,000 to $19,999",255635
Florida,Income,"$20,000 to $24,999",302056
Florida,Income,"$25,000 to $29,999",278391
Florida,Income,"$30,000 to $34,999",334017
Florida,Income,"$35,000 to $39,999",326660
Florida,Income,"$40,000 to $44,999",332702
Florida,Income,"$45,000 to $49,999",308054
Florida,Income,"$50,000 to $59,999",623171
Florida,Income,"$60,000 to $74,999",900463
Florida,Income,"$75,000 to $99,999",1205051
Florida,Income,"$100,000 to $124,999",965122
Florida,Income,"$125,000 to $149,999",655217
Florida,Income,"$150,000 to $199,999",809445
Florida,Income,"$200,000 or more",1089305
Georgia,Income,"Less than $10,000",231546
Georgia,Income,"$10,000 to $14,999",135680
Georgia,Income,"$15,000 to $19,999",118455
Georgia,Income,"$20,000 to $24,999",135037
Georgia,Income,"$25,000 to $29,999",121706
Georgia,Income,"$30,000 to $34,999",145391
Georgia,Income,"$35,000 to $39,999",144986
Georgia,Income,"$40,000 to $44,999",151439
Georgia,Income,"$45,000 to $49,999",136991
Georgia,Income,"$50,000 to $59,999",288170
Georgia,Income,"$60,000 to $74,999",383540
Georgia,Income,"$75,000 to $99,999",556917
Georgia,Income,"$100,000 to $124,999",440924
Georgia,Income,"$125,000 to $149,999",308424
Georgia,Income,"$150,000 to $199,999",401284
Georgia,Income,"$200,000 or more",520242
Hawaii,Income,"Less than $10,000",22135
Hawaii,Income,"$10,000 to $14,999",13560
Hawaii,Income,"$15,000 to $19,999",8741
Hawaii,Income,"$20,000 to $24,999",11566
Hawaii,Income,"$25,000 to $29,999",9840
Hawaii,Income,"$30,000 to $34,999",10960
Hawaii,Income,"$35,000 to $39,999",10740
Hawaii,Income,"$40,000 to $44,999",14061
Hawaii,Income,"$45,000 to $49,999",11476
Hawaii,Income,"$50,000 to $59,999",30883
Hawaii,Income,"$60,000 to $74,999",43861
Hawaii,Income,"$75,000 to $99,999",56253
Hawaii,Income,"$100,000 to $124,999",54862
Hawaii,Income,"$125,000 to $149,999",44643
Hawaii,Income,"$150,000 to $199,999",58439
Hawaii,Income,"$200,000 or more",91131
Idaho,Income,"Less than $10,000",27976
Idaho,Income,"$10,000 to $14,999",19569
Idaho,Income,"$15,000 to $19,999",20956
Idaho,Income,"$20,000 to $24,999",23170
Idaho,Income,"$25,000 to $29,999",22858
Idaho,Income,"$30,000 to $34,999",24652
Idaho,Income,"$35,000 to $39,999",22993
Idaho,Income,"$40,000 to $44,999",27562
Idaho,Income,"$45,000 to $49,999",27571
Idaho,Income,"$50,000 to $59,999",48839
Idaho,Income,"$60,000 to $74,999",78606
Idaho,Income,"$75,000 to $99,999",106013
Idaho,Income,"$100,000 to $124,999",95447
Idaho,Income,"$125,000 to $149,999",64761
Idaho,Income,"$150,000 to $199,999",68850
Idaho,Income,"$200,000 or more",71358
Illinois,Income,"Less than $10,000",281653
Illinois,Income,"$10,000 to $14,999",162907
Illinois,Income,"$15,000 to $19,999",133385
Illinois,Income,"$20,000 to $24,999",152324
Illinois,Income,"$25,000 to $29,999",151378
Illinois,Income,"$30,000 to $34,999",164567
Illinois,Income,"$35,000 to $39,999",169229
Illinois,Income,"$40,000 to $44,999",176815
Illinois,Income,"$45,000 to $49,999",159892
Illinois,Income,"$50,000 to $59,999",300512
Illinois,Income,"$60,000 to $74,999",453534
Illinois,Income,"$75,000 to $99,999",639584
Illinois,Income,"$100,000 to $124,999",540170
Illinois,Income,"$125,000 to $149,999",387057
Illinois,Income,"$150,000 to $199,999",514343
Illinois,Income,"$200,000 or more",718098
Indiana,Income,"Less than $10,000",134481
Indiana,Income,"$10,000 to $14,999",90846
Indiana,Income,"$15,000 to $19,999",90613
Indiana,Income,"$20,000 to $24,999",91479
Indiana,Income,"$25,000 to $29,999",95173
Indiana,Income,"$30,000 to $34,999",114910
Indiana,Income,"$35,000 to $39,999",106170
Indiana,Income,"$40,000 to $44,999",115949
Indiana,Income,"$45,000 to $49,999",103771
Indiana,Income,"$50,000 to $59,999",207857
Indiana,Income,"$60,000 to $74,999",290533
Indiana,Income,"$75,000 to $99,999",384224
Indiana,Income,"$100,000 to $124,999",291581
Indiana,Income,"$125,000 to $149,999",187777
Indiana,Income,"$150,000 to $199,999",234677
Indiana,Income,"$200,000 or more",235596
Iowa,Income,"Less than $10,000",54185
Iowa,Income,"$10,000 to $14,999",42024
Iowa,Income,"$15,000 to $19,999",39538
Iowa,Income,"$20,000 to $24,999",46330
Iowa,Income,"$25,000 to $29,999",50173
Iowa,Income,"$30,000 to $34,999",47626
Iowa,Income,"$35,000 to $39,999",52410
Iowa,Income,"$40,000 to $44,999",51917
Iowa,Income,"$45,000 to $49,999",49156
Iowa,Income,"$50,000 to $59,999",97796
Iowa,Income,"$60,000 to $74,999",136063
Iowa,Income,"$75,000 to $99,999",191448
Iowa,Income,"$100,000 to $124,999",153068
Iowa,Income,"$125,000 to $149,999",106196
Iowa,Income,"$150,000 to $199,999",114222
Iowa,Income,"$200,000 or more",111270
Kansas,Income,"Less than $10,000",52214
Kansas,Income,"$10,000 to $14,999",37742
Kansas,Income,"$15,000 to $19,999",33177
Kansas,Income,"$20,000 to $24,999",40013
Kansas,Income,"$25,000 to $29,999",38545
Kansas,Income,"$30,000 to $34,999",45554
Kansas,Income,"$35,000 to $39,999",45131
Kansas,Income,"$40,000 to $44,999",45748
Kansas,Income,"$45,000 to $49,999",43972
Kansas,Income,"$50,000 to $59,999",88970
Kansas,Income,"$60,000 to $74,999",126440
Kansas,Income,"$75,000 to $99,999",168680
Kansas,Income,"$100,000 to $124,999",123285
Kansas,Income,"$125,000 to $149,999",87264
Kansas,Income,"$150,000 to $199,999",107438
Kansas,Income,"$200,000 or more",120201
Kentucky,Income,"Less than $10,000",117510
Kentucky,Income,"$10,000 to $14,999",92549
Kentucky,Income,"$15,000 to $19,999",73152
Kentucky,Income,"$20,000 to $24,999",82017
Kentucky,Income,"$25,000 to $29,999",67991
Kentucky,Income,"$30,000 to $34,999",81039
Kentucky,Income,"$35,000 to $39,999",70674
Kentucky,Income,"$40,000 to $44,999",72173
Kentucky,Income,"$45,000 to $49,999",70949
Kentucky,Income,"$50,000 to $59,999",138537
Kentucky,Income,"$60,000 to $74,999",190428
Kentucky,Income,"$75,000 to $99,999",232114
Kentucky,Income,"$100,000 to $124,999",183467
Kentucky,Income,"$125,000 to $149,999",116850
Kentucky,Income,"$150,000 to $199,999",136513
Kentucky,Income,"$200,000 or more",139493
Louisiana,Income,"Less than $10,000",138049
Louisiana,Income,"$10,000 to $14,999",99941
Louisiana,Income,"$15,000 to $19,999",79334
Louisiana,Income,"$20,000 to $24,999",92960
Louisiana,Income,"$25,000 to $29,999",73687
Louisiana,Income,"$30,000 to $34,999",75310
Louisiana,Income,"$35,000 to $39,999",76556
Louisiana,Income,"$40,000 to $44,999",72099
Louisiana,Income,"$45,000 to $49,999",65219
Louisiana,Income,"$50,000 to $59,999",136583
Louisiana,Income,"$60,000 to $74,999",169018
Louisiana,Income,"$75,000 to $99,999",211630
Louisiana,Income,"$100,000 to $124,999",167823
Louisiana,Income,"$125,000 to $149,999",112459
Louisiana,Income,"$150,000 to $199,999",130809
Louisiana,Income,"$200,000 or more",147488
Maine,Income,"Less than $10,000",24519
Maine,Income,"$10,000 to $14,999",23374
Maine,Income,"$15,000 to $19,999",20342
Maine,Income,"$20,000 to $24,999",21256
Maine,Income,"$25,000 to $29,999",20758
Maine,Income,"$30,000 to $34,999",20478
Maine,Income,"$35,000 to $39,999",22005
Maine,Income,"$40,000 to $44,999",22305
Maine,Income,"$45,000 to $49,999",21559
Maine,Income,"$50,000 to $59,999",44447
Maine,Income,"$60,000 to $74,999",61103
Maine,Income,"$75,000 to $99,999",80263
Maine,Income,"$100,000 to $124,999",64422
Maine,Income,"$125,000 to $149,999",47031
Maine,Income,"$150,000 to $199,999",57701
Maine,Income,"$200,000 or more",63672
Maryland,Income,"Less than $10,000",113527
Maryland,Income,"$10,000 to $14,999",56284
Maryland,Income,"$15,000 to $19,999",46019
Maryland,Income,"$20,000 to $24,999",56619
Maryland,Income,"$25,000 to $29,999",56228
Maryland,Income,"$30,000 to $34,999",56466
Maryland,Income,"$35,000 to $39,999",57041
Maryland,Income,"$40,000 to $44,999",64291
Maryland,Income,"$45,000 to $49,999",63781
Maryland,Income,"$50,000 to $59,999",121043
Maryland,Income,"$60,000 to $74,999",189245
Maryland,Income,"$75,000 to $99,999",277612
Maryland,Income,"$100,000 to $124,999",253708
Maryland,Income,"$125,000 to $149,999",189269
Maryland,Income,"$150,000 to $199,999",299725
Maryland,Income,"$200,000 or more",500536
Massachusetts,Income,"Less than $10,000",135118
Massachusetts,Income,"$10,000 to $14,999",85289
Massachusetts,Income,"$15,000 to $19,999",69741
Massachusetts,Income,"$20,000 to $24,999",68959
Massachusetts,Income,"$25,000 to $29,999",63713
Massachusetts,Income,"$30,000 to $34,999",71751
Massachusetts,Income,"$35,000 to $39,999",71118
Massachusetts,Income,"$40,000 to $44,999",74282
Massachusetts,Income,"$45,000 to $49,999",65652
Massachusetts,Income,"$50,000 to $59,999",131990
Massachusetts,Income,"$60,000 to $74,999",210031
Massachusetts,Income,"$75,000 to $99,999",300648
Massachusetts,Income,"$100,000 to $124,999",283096
Massachusetts,Income,"$125,000 to $149,999",227449
Massachusetts,Income,"$150,000 to $199,999",334249
Massachusetts,Income,"$200,000 or more",636718
Michigan,Income,"Less than $10,000",233459
Michigan,Income,"$10,000 to $14,999",143363
Michigan,Income,"$15,000 to $19,999",127734
Michigan,Income,"$20,000 to $24,999",146620
Michigan,Income,"$25,000 to $29,999",141089
Michigan,Income,"$30,000 to $34,999",161806
Michigan,Income,"$35,000 to $39,999",153404
Michigan,Income,"$40,000 to $44,999",153365
Michigan,Income,"$45,000 to $49,999",149116
Michigan,Income,"$50,000 to $59,999",307069
Michigan,Income,"$60,000 to $74,999",407155
Michigan,Income,"$75,000 to $99,999",537972
Michigan,Income,"$100,000 to $124,999",430104
Michigan,Income,"$125,000 to $149,999",298988
Michigan,Income,"$150,000 to $199,999",351110
Michigan,Income,"$200,000 or more",388927
Minnesota,Income,"Less than $10,000",104208
Minnesota,Income,"$10,000 to $14,999",62205
Minnesota,Income,"$15,000 to $19,999",55200
Minnesota,Income,"$20,000 to $24,999",63444
Minnesota,Income,"$25,000 to $29,999",62210
Minnesota,Income,"$30,000 to $34,999",67371
Minnesota,Income,"$35,000 to $39,999",66973
Minnesota,Income,"$40,000 to $44,999",78695
Minnesota,Income,"$45,000 to $49,999",70462
Minnesota,Income,"$50,000 to $59,999",159480
Minnesota,Income,"$60,000 to $74,999",222542
Minnesota,Income,"$75,000 to $99,999",308923
Minnesota,Income,"$100,000 to $124,999",271290
Minnesota,Income,"$125,000 to $149,999",192495
Minnesota,Income,"$150,000 to $199,999",251774
Minnesota,Income,"$200,000 or more",326170
Mississippi,Income,"Less than $10,000",83472
Mississippi,Income,"$10,000 to $14,999",63681
Mississippi,Income,"$15,000 to $19,999",50159
Mississippi,Income,"$20,000 to $24,999",57424
Mississippi,Income,"$25,000 to $29,999",56151
Mississippi,Income,"$30,000 to $34,999",53805
Mississippi,Income,"$35,000 to $39,999",48010
Mississippi,Income,"$40,000 to $44,999",50009
Mississippi,Income,"$45,000 to $49,999",49260
Mississippi,Income,"$50,000 to $59,999",81926
Mississippi,Income,"$60,000 to $74,999",110307
Mississippi,Income,"$75,000 to $99,999",142090
Mississippi,Income,"$100,000 to $124,999",115205
Mississippi,Income,"$125,000 to $149,999",68674
Mississippi,Income,"$150,000 to $199,999",76303
Mississippi,Income,"$200,000 or more",70214
Missouri,Income,"Less than $10,000",133085
